Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Saint Lucia,LCA,America (Central & Carribbean),America,0,,,0,,,,,0,,,0,,0,,,,0,,0,0,,1
Saint Vincent & the Grenadines,VCT,America (Central & Carribbean),America,1,,,0,,,,,0,,,,,0,,,,,,,0,,7
Samoa,WSM,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,,,0,,,0,,1
San Marino,SMR,Europe (west),Europe,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome & Principe,STP,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,,,1
Saudi Arabia,SAU,Asia (west),Asia,1,,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,,0,,7
Senegal,SEN,Africa,Africa,0,,,0,0,0,,,0,0,,0,,,,,,0,,,0,0,4
Serbia,SRB,Europe (south eastern),Europe,1,,,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,0,7
Seychelles,SYC,Africa,Africa,2,,,0,,,,,1,,,,,0,,,,1,0,,0,,9
Sierra Leone,SLE,Africa,Africa,0,,,0,,,,,0,,,,0,0,,,,,,,0,,2
Singapore,SGP,Asia (East & South East),Asia,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,5
Sint Maarten,SXM,America (Central & Carribbean),America,3,,,0,0,0,0,,0,,,0,,0,0,,,0,,0,3,,9
Slovakia,SVK,Europe (west),Europe,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
Slovenia,SVN,Europe (west),Europe,6,,,0,0,0,0,,3,0,0,1,0,0,0,,,2,0,0,0,0,10
Solomon Islands,SLB,Oceania,Oceania,0,,,0,,,,,0,,,0,,0,,,,,,,0,,4
Somalia,SOM,Africa,Africa,0,,,,,,,,0,,,,,0,,,,0,,,0,,1
South Africa,ZAF,Africa,Africa,2,0,,0,0,0,0,,1,0,0,0,0,1,,0,0,0,0,0,0,0,8
South Sudan,SSD,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,,,1
Spain,ESP,Europe (west),Europe,5,0,,0,0,0,0,,1,0,0,2,0,0,,,0,2,0,0,0,0,9
